,Dataset Name,NN Type,mean_test_score,std_test_score
0,MUTAG,TWL,0.5524893314366999,0.14622421404678443
62,MUTAG,GCN,0.8456614509246088,0.03129445234708393
0,PTC_MR,TWL,0.505839727195226,0.09683454992727494
66,PTC_MR,GCN,0.5639386189258312,0.016080700366686667
20,COX2,TWL,0.6485243651338366,0.07013510234697301
0,COX2,GCN,0.7816060398078243,0.004090888840612498
78,DHFR,TWL,0.5835221331474381,0.08833776348556531
66,DHFR,GCN,0.6189961659114674,0.0198951701507378
