UTC Time,Dataset,Training Method,NN Type,Nb CV folds,Metric,mean,std,min,q_25,q_50,q_75,max
2023-03-08 17:26:06.315994+00:00,MUTAG,Gradient_Descent,twl,10,accuracy,0.33684212,0.105788164,0.2105263173580169,0.2631579041481018,0.3421052545309067,0.3684210479259491,0.5789473652839661
2023-03-08 17:49:25.896393+00:00,MUTAG,Gradient_Descent,gcn,10,accuracy,0.3368421196937561,0.1057881638407707,0.2105263173580169,0.2631579041481018,0.3421052545309067,0.3684210479259491,0.5789473652839661
2023-03-08 17:50:23.175740+00:00,MUTAG,Gradient_Descent,twl,10,accuracy,0.7789473533630371,0.0905507951974868,0.6842105388641357,0.6842105388641357,0.7894737124443054,0.8289473801851273,0.9473684430122375
2023-03-08 17:58:46.371200+00:00,MUTAG,Gradient_Descent,gcn,10,accuracy,0.857894778251648,0.0850289240479469,0.7368420958518982,0.7894737124443054,0.8684210479259491,0.9473684430122375,0.9473684430122375
1680015351.63244,MUTAG,Gradient Descent,TWL,2,accuracy,0.664893627166748,0.0159574449062347,0.6489361524581909,0.6569148749113083,0.6648935973644257,0.672872319817543,0.6808510422706604
1680015442.930144,MUTAG,Gradient Descent,TWL,2,accuracy,0.664893627166748,0.0159574449062347,0.6489361524581909,0.6569148749113083,0.6648935973644257,0.672872319817543,0.6808510422706604
1680059251.495052,MUTAG,Gradient Descent,TWL,10,accuracy,0.6807017922401428,0.0822235569357872,0.5789473652839661,0.6162280589342117,0.684210479259491,0.712719276547432,0.8421052694320679
